proyecto_id,escenario_id,geometria_valida,geometria_nula,geometria_vacia,geometria_invalida,escenario_proyectos,proyecto_multiescenario
AMBA-P001,AMBA-E003,True,False,False,False,20,False
AMBA-P002,AMBA-E004,True,False,False,False,21,False
AMBA-P003,AMBA-E003,True,False,False,False,20,False
AMBA-P004,AMBA-E003,True,False,False,False,20,False
AMBA-P005,AMBA-E001,True,False,False,False,20,False
AMBA-P006,AMBA-E006,True,False,False,False,20,False
AMBA-P007,AMBA-E004,True,False,False,False,21,False
AMBA-P008,AMBA-E001,True,False,False,False,20,False
AMBA-P009,AMBA-E007,True,False,False,False,21,False
AMBA-P010,AMBA-E006,True,False,False,False,20,False
AMBA-P011,AMBA-E007,True,False,False,False,21,False
AMBA-P012,AMBA-E001,True,False,False,False,20,False
AMBA-P013,AMBA-E001,True,False,False,False,20,False
AMBA-P014,AMBA-E004,True,False,False,False,21,False
AMBA-P015,AMBA-E006,True,False,False,False,20,False
AMBA-P016,AMBA-E001,True,False,False,False,20,False
AMBA-P017,AMBA-E004,True,False,False,False,21,False
AMBA-P018,AMBA-E006,True,False,False,False,20,False
AMBA-P019,AMBA-E001,True,False,False,False,20,False
AMBA-P020,AMBA-E002,True,False,False,False,21,False
AMBA-P021,AMBA-E001,True,False,False,False,20,False
AMBA-P022,AMBA-E007,True,False,False,False,21,False
AMBA-P023,AMBA-E001,True,False,False,False,20,False
AMBA-P024,AMBA-E001,True,False,False,False,20,False
AMBA-P025,AMBA-E004,True,False,False,False,21,False
AMBA-P026,AMBA-E002,True,False,False,False,21,False
AMBA-P027,AMBA-E003,True,False,False,False,20,False
AMBA-P028,AMBA-E003,True,False,False,False,20,False
AMBA-P029,AMBA-E004,True,False,False,False,21,False
AMBA-P030,AMBA-E003,True,False,False,False,20,False
AMBA-P031,AMBA-E003,True,False,False,False,20,False
AMBA-P032,AMBA-E005,True,False,False,False,21,False
AMBA-P033,AMBA-E006,True,False,False,False,20,False
AMBA-P034,AMBA-E004,True,False,False,False,21,False
AMBA-P035,AMBA-E005,True,False,False,False,21,False
AMBA-P036,AMBA-E001,True,False,False,False,20,False
AMBA-P037,AMBA-E003,True,False,False,False,20,False
AMBA-P038,AMBA-E006,True,False,False,False,20,False
AMBA-P039,AMBA-E005,True,False,False,False,21,False
AMBA-P040,AMBA-E002,True,False,False,False,21,False
AMBA-P041,AMBA-E005,True,False,False,False,21,False
AMBA-P042,AMBA-E006,True,False,False,False,20,False
AMBA-P043,AMBA-E002,True,False,False,False,21,False
AMBA-P044,AMBA-E006,True,False,False,False,20,False
AMBA-P045,AMBA-E006,True,False,False,False,20,False
AMBA-P046,AMBA-E004,True,False,False,False,21,False
AMBA-P047,AMBA-E005,True,False,False,False,21,False
AMBA-P048,AMBA-E004,True,False,False,False,21,False
AMBA-P049,AMBA-E005,True,False,False,False,21,False
AMBA-P050,AMBA-E002,True,False,False,False,21,False
AMBA-P051,AMBA-E005,True,False,False,False,21,False
AMBA-P052,AMBA-E007,True,False,False,False,21,False
AMBA-P053,AMBA-E003,True,False,False,False,20,False
AMBA-P054,AMBA-E001,True,False,False,False,20,False
AMBA-P055,AMBA-E001,True,False,False,False,20,False
AMBA-P056,AMBA-E002,True,False,False,False,21,False
AMBA-P057,AMBA-E005,True,False,False,False,21,False
AMBA-P058,AMBA-E001,True,False,False,False,20,False
